product_id,product_category,location_id,date,demand,stock_level,incoming_inventory
IBWQ,General,WB,2023-07-01,0.0,10457.0,0
IBWQ,General,WB,2023-07-02,0.0,10457.0,0
IBWQ,General,WB,2023-07-03,0.0,10457.0,0
IBWQ,General,WB,2023-07-04,325.0,10132.0,0
IBWQ,General,WB,2023-07-05,1140.0,13128.0,0
IBWQ,General,WB,2023-07-06,1365.0,16964.0,0
IBWQ,General,WB,2023-07-07,0.0,16964.0,0
IBWQ,General,WB,2023-07-08,0.0,16964.0,0
IBWQ,General,WB,2023-07-09,0.0,16964.0,0
IBWQ,General,WB,2023-07-10,2790.0,17866.0,0
IBWQ,General,WB,2023-07-11,0.0,17866.0,0
IBWQ,General,WB,2023-07-12,2855.0,15011.0,0
IBWQ,General,WB,2023-07-13,450.0,14561.0,0
IBWQ,General,WB,2023-07-14,2955.0,11606.0,0
IBWQ,General,WB,2023-07-15,1810.0,9796.0,0
IBWQ,General,WB,2023-07-16,0.0,9796.0,0
IBWQ,General,WB,2023-07-17,1700.0,8096.0,0
IBWQ,General,WB,2023-07-18,2400.0,5696.0,0
IBWQ,General,WB,2023-07-19,1680.0,8498.0,0
IBWQ,General,WB,2023-07-20,2120.0,11504.0,0
IBWQ,General,WB,2023-07-21,2695.0,14247.0,0
IBWQ,General,WB,2023-07-22,1695.0,12552.0,0
IBWQ,General,WB,2023-07-23,0.0,12552.0,0
IBWQ,General,WB,2023-07-24,2350.0,10202.0,0
IBWQ,General,WB,2023-07-25,1170.0,9032.0,0
IBWQ,General,WB,2023-07-26,920.0,8112.0,0
IBWQ,General,WB,2023-07-27,1870.0,6242.0,0
IBWQ,General,WB,2023-07-28,700.0,5542.0,0
IBWQ,General,WB,2023-07-29,1500.0,6743.0,0
IBWQ,General,WB,2023-07-30,0.0,6743.0,0
IBWQ,General,WB,2023-07-31,3785.0,2958.0,0
IBWQ,General,WB,2023-08-01,0.0,2958.0,0
IBWQ,General,WB,2023-08-02,0.0,2958.0,0
IBWQ,General,WB,2023-08-03,100.0,7537.0,0
IBWQ,General,WB,2023-08-04,1440.0,12162.0,0
IBWQ,General,WB,2023-08-05,925.0,11237.0,0
IBWQ,General,WB,2023-08-06,0.0,11237.0,0
IBWQ,General,WB,2023-08-07,825.0,10412.0,0
IBWQ,General,WB,2023-08-08,1050.0,9362.0,0
IBWQ,General,WB,2023-08-09,1100.0,8262.0,0
IBWQ,General,WB,2023-08-10,650.0,10300.0,0
IBWQ,General,WB,2023-08-11,725.0,11485.0,0
IBWQ,General,WB,2023-08-12,535.0,13777.0,0
IBWQ,General,WB,2023-08-13,0.0,13777.0,0
IBWQ,General,WB,2023-08-14,920.0,12857.0,0
IBWQ,General,WB,2023-08-15,0.0,12857.0,0
IBWQ,General,WB,2023-08-16,0.0,12857.0,0
IBWQ,General,WB,2023-08-17,850.0,12007.0,0
IBWQ,General,WB,2023-08-18,470.0,14372.0,0
IBWQ,General,WB,2023-08-19,100.0,19159.0,0
IBWQ,General,WB,2023-08-20,330.0,18829.0,0
IBWQ,General,WB,2023-08-21,400.0,23519.0,0
IBWQ,General,WB,2023-08-22,200.0,23319.0,0
IBWQ,General,WB,2023-08-23,820.0,22499.0,0
IBWQ,General,WB,2023-08-24,2420.0,20079.0,0
IBWQ,General,WB,2023-08-26,920.0,17134.0,0
IBWQ,General,WB,2023-08-27,0.0,17134.0,0
IBWQ,General,WB,2023-08-28,1120.0,16014.0,0
IBWQ,General,WB,2023-08-29,2865.0,13149.0,0
IBWQ,General,WB,2023-08-30,3330.0,14762.0,0
IBWQ,General,WB,2023-08-31,1470.0,18151.0,0
IBWQ,General,WB,2023-09-01,1220.0,21344.0,0
IBWQ,General,WB,2023-09-02,880.0,22455.0,0
IBWQ,General,WB,2023-09-03,0.0,22455.0,0
IBWQ,General,WB,2023-09-04,130.0,22325.0,0
IBWQ,General,WB,2023-09-05,1150.0,21175.0,0
IBWQ,General,WB,2023-09-06,1640.0,19535.0,0
IBWQ,General,WB,2023-09-07,1060.0,18475.0,0
IBWQ,General,WB,2023-09-08,720.0,17755.0,0
IBWQ,General,WB,2023-09-09,1360.0,16395.0,0
IBWQ,General,WB,2023-09-10,0.0,16395.0,0
IBWQ,General,WB,2023-09-11,300.0,18802.0,0
IBWQ,General,WB,2023-09-12,1770.0,17032.0,0
IBWQ,General,WB,2023-09-13,1180.0,21145.0,0
IBWQ,General,WB,2023-09-14,2080.0,19065.0,0
IBWQ,General,WB,2023-09-15,2070.0,16995.0,0
IBWQ,General,WB,2023-09-16,1090.0,16995.0,0
IBWQ,General,WB,2023-09-17,0.0,16995.0,0
IBWQ,General,WB,2023-09-18,0.0,16995.0,0
IBWQ,General,WB,2023-09-19,3825.0,12080.0,0
IBWQ,General,WB,2023-09-20,980.0,11100.0,0
IBWQ,General,WB,2023-09-21,1370.0,9730.0,0
IBWQ,General,WB,2023-09-22,1390.0,8340.0,0
IBWQ,General,WB,2023-09-23,1750.0,6590.0,0
IBWQ,General,WB,2023-09-24,0.0,6590.0,0
IBWQ,General,WB,2023-09-25,1645.0,4945.0,0
IBWQ,General,WB,2023-09-26,1910.0,3035.0,0
IBWQ,General,WB,2023-09-27,2490.0,5637.0,0
IBWQ,General,WB,2023-09-28,1960.0,9274.0,0
IBWQ,General,WB,2023-09-29,3570.0,11488.0,0
IBWQ,General,WB,2023-09-30,6850.0,10153.0,0
IBWQ,General,WB,2023-10-01,0.0,10153.0,0
IBWQ,General,WB,2023-10-02,0.0,10153.0,0
IBWQ,General,WB,2023-10-03,120.0,10033.0,0
IBWQ,General,WB,2023-10-04,1550.0,8483.0,0
IBWQ,General,WB,2023-10-05,1110.0,7373.0,0
IBWQ,General,WB,2023-10-06,820.0,6553.0,0
IBWQ,General,WB,2023-10-07,270.0,6283.0,0
IBWQ,General,WB,2023-10-08,0.0,6283.0,0
IBWQ,General,WB,2023-10-09,450.0,5833.0,0
IBWQ,General,WB,2023-10-10,540.0,9907.0,0
IBWQ,General,WB,2023-10-11,570.0,14569.0,0
IBWQ,General,WB,2023-10-12,1170.0,19243.0,0
IBWQ,General,WB,2023-10-13,1705.0,24196.0,0
IBWQ,General,WB,2023-10-14,1870.0,22326.0,0
IBWQ,General,WB,2023-10-15,1105.0,21221.0,0
IBWQ,General,WB,2023-10-16,1340.0,19881.0,0
IBWQ,General,WB,2023-10-17,1390.0,18491.0,0
IBWQ,General,WB,2023-10-18,2300.0,16191.0,0
IBWQ,General,WB,2023-10-19,1960.0,14231.0,0
IBWQ,General,WB,2023-10-20,2050.0,17673.0,0
IBWQ,General,WB,2023-10-21,0.0,17673.0,0
IBWQ,General,WB,2023-10-22,0.0,17673.0,0
IBWQ,General,WB,2023-10-23,0.0,17673.0,0
IBWQ,General,WB,2023-10-24,0.0,17673.0,0
IBWQ,General,WB,2023-10-25,3520.0,19702.0,0
IBWQ,General,WB,2023-10-26,2680.0,23395.0,0
IBWQ,General,WB,2023-10-27,1450.0,21945.0,0
IBWQ,General,WB,2023-10-28,0.0,21945.0,0
IBWQ,General,WB,2023-10-29,2905.0,19040.0,0
IBWQ,General,WB,2023-10-30,4155.0,14885.0,0
IBWQ,General,WB,2023-10-31,2830.0,18606.0,0
IBWQ,General,WB,2023-11-01,150.0,23280.0,0
IBWQ,General,WB,2023-11-02,320.0,22960.0,0
IBWQ,General,WB,2023-11-03,320.0,22640.0,0
IBWQ,General,WB,2023-11-04,600.0,22040.0,0
IBWQ,General,WB,2023-11-05,0.0,22040.0,0
IBWQ,General,WB,2023-11-06,975.0,21065.0,0
IBWQ,General,WB,2023-11-07,650.0,20415.0,0
IBWQ,General,WB,2023-11-08,190.0,20225.0,0
IBWQ,General,WB,2023-11-09,440.0,19785.0,0
IBWQ,General,WB,2023-11-10,850.0,18935.0,0
IBWQ,General,WB,2023-11-11,950.0,17985.0,0
IBWQ,General,WB,2023-11-12,0.0,17985.0,0
IBWQ,General,WB,2023-11-13,0.0,17985.0,0
IBWQ,General,WB,2023-11-14,920.0,17065.0,0
IBWQ,General,WB,2023-11-15,0.0,17065.0,0
IBWQ,General,WB,2023-11-16,1835.0,15230.0,0
IBWQ,General,WB,2023-11-17,2240.0,12990.0,0
IBWQ,General,WB,2023-11-18,2195.0,10795.0,0
IBWQ,General,WB,2023-11-19,0.0,10795.0,0
